"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"689C328C98274DEF9969A68207F0686E","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","PIST","Pinus strobus L.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"11D7C9C79C2841D4904BF9D534232FEB","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"4AF5EE86FEEF415490E5727523C4CCFC","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","TRBO2","Trientalis borealis Raf.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"16C2655737764C659E96EC4D88D21500","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"4FDFE9561F0B4DFF9D02EE7B4C206843","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","COAM2","Cornus amomum Mill.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"85BB6AB77A494A81975CBAE6EBE4B3F6","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"9FC5FED0A9A34B168E97DD6CE85DF7D5","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","BEAL2","Betula alleghaniensis Britton","species","cf. species",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","tiny seedling",,,0,0,0
"FBB48D2C417D488D8CF6A3F9DD603F40","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","ARNU2","Aralia nudicaulis L.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"D542F1C52FEB43E388052CB98B8357FE","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"01ECA17B61F34DA2A03D65E449C7318B","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","BETUL","Betula sp.","genus",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"2079C24639984819887DF918A51394E7","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","MEVI","Medeola virginiana L.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"D0CE62B2825F480A99C83159ECB30A11","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species","cf. species",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","seedling",,,0,0,0
"FA42E2A7D3D84A7F97598E91929024E9","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA","Viburnum lantana L.","species","cf. species",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"66F200FCA2DB40A0A89521CC7E2B55E0","D01","BART",,,,,,"deciduousForest",,,"2014-06-09",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"F6765330873E46538F7878E1027CD80D","D01","BART",,,,,,"evergreenForest",,,"2014-06-10",1,"DIV.BART.2014.1","Y","TRBO2","Trientalis borealis Raf.","species",,,"NEON.DOC.014042",,"V0VyGlk8FYYtfg5/vAcjo2pR1F2dzomS",,,,0,0,0
"8FCA375939D94ED79B828B4E82E9380C","D01","BART",,,,,,"evergreenForest",,,"2014-06-10",1,"DIV.BART.2014.1","Y","PIST","Pinus strobus L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"5C735E84B5274AF69AECF3865644821E","D01","BART",,,,,,"evergreenForest",,,"2014-06-10",1,"DIV.BART.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"0DC099058BF7478DB9EF195A4C48EE08","D01","BART",,,,,,"evergreenForest",,,"2014-06-10",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"731B22526EF943D5A9C129B057B5A398","D01","BART",,,,,,"evergreenForest",,,"2014-06-10",1,"DIV.BART.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon",,,,0,0,0
"4B54FCFB977A454680313CEEEC7FB7E4","D01","BART",,,,,,"evergreenForest",,,"2014-06-10",1,"DIV.BART.2014.1","Y","ACER","Acer sp.","genus","cf. genus",,"NEON.DOC.014042",,"fxHgALBjvjgbVHgipACxg2Jb2N7wwp70",,,,0,0,0
"BBBAF441B38F4F5D85E144C34A9740E0","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","PIST","Pinus strobus L.","species",,,"NEON.DOC.014042",,"DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"55DF0E237E064DC98A9B9EE5499252B8","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","ACSAS","Acer saccharum Marshall var. saccharum","variety",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"B70B6FA944F34A6CA095B697AF43B176","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","CAREX","Carex sp.","genus",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"5EFF6B98FB494DA5935D799F0AC33981","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","TRBO2","Trientalis borealis Raf.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"3085BDD2D60E4A1A9DE26C588D124260","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","DRYOP","Dryopteris sp.","genus","cf. genus",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","Plant badly damaged, appears to be Dryopteris sp.",,,0,0,0
"F1D044269AD34CFBAB2D12A6CF61224E","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","SORU2","Solidago rugosa Mill.","species","cf. species",,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"F14E11FBD52A44D5BF666E3A56913048","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"6F33C268B577424699EF2E92F44FD9D2","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","ACRU","Acer rubrum L.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"92AED2C225D4489097E93D77BE1DC77E","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","FAGR","Fagus grandifolia Ehrh.","species",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"8E5E3B88E57642A7BDBBCD5F8EB1AB55","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","MARAR","Maianthemum racemosum (L.) Link ssp. racemosum","subspecies",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"56AE6B664F1F4A8AB59975438A63110F","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","QURU","Quercus rubra L.","species",,,"NEON.DOC.014042",,"DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"AEEA2114C8984D808D21A5777B48F4CC","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","TSCA","Tsuga canadensis (L.) Carrière","species",,,"NEON.DOC.014042",,"DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"D46D817F2B97499E822383BD87BB9404","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","PRPEP","Prunus pensylvanica L. f. var. pensylvanica","variety",,,"NEON.DOC.014042",,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,,,0,0,0
"F19C38B892284B3382711F288E81DB02","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","ACSA3","Acer saccharum Marshall","species",,,"NEON.DOC.014042",,"DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"EC51E5CBFA0B4FE6ADBA761910997C04","D01","BART",,,,,,"evergreenForest",,,"2014-06-11",1,"DIV.BART.2014.1","Y","MEVI","Medeola virginiana L.","species",,,"NEON.DOC.014042",,"DC8rpFu6nZaSFeY1aUPEWwDX9WRJETz0",,,,0,0,0
"329E4C38BE95491AA6E8528372FCFABF","D01","BART",,,,,,"mixedForest",,,"2014-06-16",1,"DIV.BART.2014.1","Y","OXMO","Oxalis montana Raf.","species",,,"NEON.DOC.014042",,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn",,,,0,0,0
"AC77D97EF8F44AD895ACA8EECD709E1E","D01","BART",,,,,,"mixedForest",,,"2014-06-16",1,"DIV.BART.2014.1","Y","2PLANT","Unknown plant","kingdom",,,"NEON.DOC.014042",,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","Unidentifiable seedling",,,0,0,0
"0A9C0B47C3D047879404B0C72876D561","D01","BART",,,,,,"mixedForest",,,"2014-06-16",1,"DIV.BART.2014.1","Y","QURU","Quercus rubra L.","species",,,"NEON.DOC.014042",,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn",,,,0,0,0
"6423DCE573F9459DB4F9E77B9B95B463","D01","BART",,,,,,"mixedForest",,,"2014-06-16",1,"DIV.BART.2014.1","Y","VILA11","Viburnum lantanoides Michx.","species",,,"NEON.DOC.014042",,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn",,,,0,0,0
"4920C6CC74C54B6FAA1F6B70B98CC03F","D01","BART",,,,,,"mixedForest",,,"2014-06-16",1,"DIV.BART.2014.1","Y","PRPEP","Prunus pensylvanica L. f. var. pensylvanica","variety",,,"NEON.DOC.014042",,"0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn",,,,0,0,0
