"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"9FF6E15E02FE4AEF8AC2FC61E067BA01","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","DECO2","Desmanthus cooleyi (Eaton) Trel.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"7E684AACFD584E10A7EA0B6CAC7D77CF","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","DIWI2","Dimorphocarpa wislizeni (Engelm.) Rollins","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"BC87B2B9068B41F586A330EA610D76ED","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","HOHU","Houstonia humifusa (A. Gray) A. Gray","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"B748C1237E4F43119F29FAFBA91B62C5","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","MEPU3","Mentzelia pumila Nutt. ex Torr. & A. Gray","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"3A32CD736F984FAE9CCC834353DD0F46","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","ARPU9","Aristida purpurea Nutt.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"B7B963BF43D9421C83F6BE03151C343D","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","CHAL11","Chamaesyce albomarginata (Torr. & A. Gray) Small","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"C7FEB42479FF44EEB954C7C6FC4562E1","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","TECO","Tetraclea coulteri A. Gray","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"53EC473D8EAA46A6BEB8F7401424B291","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","PRGL2","Prosopis glandulosa Torr.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"9022A3C17AA449E1AE533DD6B551DA71","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","PAOB","Panicum obtusum Kunth","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"DF0385513E0B4CD4A78C3C8589457B1F","D14","JORN",,"41",32.592190,-106.843288,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","GAPI","Gaillardia pinnatifida Torr.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"0F3487F628D841CBB3574D45E5B67E68","D14","JORN",,"40",32.592194,-106.843392,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","SEBA3","Senna bauhinioides (A. Gray) Irwin & Barneby","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"E41AD81A3E5D4A98B495185207889A16","D14","JORN",,"40",32.592194,-106.843392,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","SPFL2","Sporobolus flexuosus (Thurb. ex Vasey) Rydb.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
"B864B3BE5A704D9196F5F3DF2BAA64A6","D14","JORN",,"40",32.592194,-106.843392,"WGS84",2.1,"2015-08-17",1,"DIV.JORN.2015.1","Y","TILA2","Tidestromia lanuginosa (Nutt.) Standl.","species",,,"NEON.DOC.014042",,"cyBtucnFNGpJI8jm2+Rz1Zm1rXj26jk9","mOcIykOnDgd3QV5gHrl8B5rxlWe9VRn+",,,,0,0,0,0
