"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","testedDate","eventID","testingID","testingVialID","deprecatedVialID","taxonID","scientificName","taxonRank","identificationQualifier","sex","poolSize","testPathogenName","testNumber","testMethod","testResult","finalResult","locus","percentIdentity","sequenceDatabase","sequenceDatabaseID","extractDepleted","samplingProtocolVersion","testProtocolVersion","laboratoryName","testedBy","remarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleCompromisedAtSorting","sampleCompromisedAtIDLab","sampleCompromisedAtTesting","nonStandardPoolQF","duplicatesInPathogenPoolingQF","duplicatesInPathogenResultsQF"
"1B27E7233C144C16AFBF876052AE9BA5","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.02","STER.2014.2.Aedes dorsalis.Female.T2","AEDDOR","Aedes dorsalis","species",,"F",20,"Bunyaviridae",2,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"3422827C68A4461492CA3E96BC18268A","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.01","STER.2014.2.Aedes dorsalis.Female.T1","AEDDOR","Aedes dorsalis","species",,"F",20,"Togaviridae",1,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"2047A4D066514BF9AAFD7F5433FA3702","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.01","STER.2014.2.Aedes dorsalis.Female.T1","AEDDOR","Aedes dorsalis","species",,"F",20,"Bunyaviridae",2,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"A86FF43D8C184E9DA999135FE2E915FD","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.02","STER.2014.2.Aedes dorsalis.Female.T2","AEDDOR","Aedes dorsalis","species",,"F",20,"Togaviridae",1,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"EA04DBAB8F6C489392A6ABEA70341E39","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.01","STER.2014.2.Aedes dorsalis.Female.T1","AEDDOR","Aedes dorsalis","species",,"F",20,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"63F48FEF14E242B6BD69B70880986075","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.03","STER.2014.2.Aedes dorsalis.Female.T3","AEDDOR","Aedes dorsalis","species",,"F",20,"Bunyaviridae",2,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"D3AAADECB61F4CC8BAAC859CBDA53EB1","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.03","STER.2014.2.Aedes dorsalis.Female.T3","AEDDOR","Aedes dorsalis","species",,"F",20,"Togaviridae",1,"PCR","Negative","N",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"E5370368963C410892E6A21DA9893158","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.02","STER.2014.2.Aedes dorsalis.Female.T2","AEDDOR","Aedes dorsalis","species",,"F",20,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"26737B5B08B549AAA28ECF0F81883F30","D10","STER",40.473965,-103.021629,"WGS84",1471.6,1361.0,8.7,2014-07-08 13:04:00.0,2014-07-09 14:37:00.0,"2015-01-08","STER.2014.27","STER.2014.27.AEDDOR.F.T","STER.2014.27.AEDDOR.F.T.03","STER.2014.2.Aedes dorsalis.Female.T3","AEDDOR","Aedes dorsalis","species",,"F",20,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","No known compromise","No known compromise",0,0,0
"3292203F8AAF45088174E83BBC30403D","D10","STER",40.474540,-103.022087,"WGS84",1475.5,1361.4,9.0,2014-08-05 13:13:00.0,2014-08-06 14:53:00.0,"2015-01-08","STER.2014.31","STER.2014.31.CULTAR.F.T","STER.2014.31.CULTAR.F.T.01","STER.2014.3.Culex tarsalis.Female.T1","CULTAR","Culex tarsalis","species",,"F",30,"Flaviviridae",3,"PCR","Negative","Y",,,,,"Y","NEON.DOC.014049vE","Other","University of Illinois","Wp94RvOv+/JypfgWMk4zNQ==","testedDate may be inaccurate|sampleCompromised is unknown|testedBy may be inaccurate",0,"No known compromise","No known compromise","Damaged, analysis affected","No known compromise",0,0,0
